median_income,median_rent_monthly,median_home_value,B25070_001E,B25070_007E,B25070_008E,B25070_009E,B25070_010E,B25091_001E,B25091_012E,B25091_013E,B25091_014E,B25091_015E,median_income_moe,median_rent_monthly_moe,median_home_value_moe,rent_burden_total_moe,rent_burden_30_moe,rent_burden_35_moe,rent_burden_40_moe,rent_burden_50_moe,owner_burden_total_moe,owner_burden_30_moe,owner_burden_35_moe,owner_burden_40_moe,owner_burden_50_moe,state,year,annual_rent,rent_burden_ratio,price_to_income_ratio,rent_burden_30plus_num,rent_burden_total,rent_burden_share,rent_burden_pct,owner_burden_30plus_num,owner_burden_total,owner_burden_share,owner_burden_pct,median_income_rel_moe,median_income_high_moe_flag,median_rent_monthly_rel_moe,median_rent_monthly_high_moe_flag,median_home_value_rel_moe,median_home_value_high_moe_flag,series_id,cpi,tax_burden_rate,tax_burden_pct,cpi_index,real_income,cpi_base_note,qol_score,disposable_income
89168,1372,499500,325496,28742,22783,25711,69155,804164,1177,253201,152273,39562,1807,21,4485,7765,3090,3143,2535,4998,8401,518,6656,5621,3352,UT,2022,16464,0.18464022967880855,5.60178539386327,146391,325496,0.44974746233440654,44.974746233440655,446213,804164,0.5548781094403629,55.48781094403628,0.02026511753095281,False,0.015306122448979591,False,0.00897897897897898,False,CUUR0400SA0,345.294,0.14429999999999998,14.43,102.89936591969212,86655.53883936586,mean_of_sample,0.5803202372148248,74151.14458484537
72284,1290,275400,4161092,378216,292703,385292,1007799,6926616,20012,3042119,1254953,615502,443,7,1356,28683,16522,13056,13721,19185,30206,3193,26271,19785,13116,TX,2022,15480,0.21415527640971724,3.8099717779868296,2064010,4161092,0.49602604316366955,49.60260431636696,4932586,6926616,0.7121206083894358,71.21206083894359,0.006128603840407283,False,0.005426356589147287,False,0.004923747276688453,False,CUUR0300SA0,314.35,0.1186,11.86,93.67789673974995,77162.27895339587,mean_of_sample,-1.148526105136496,68010.83266952312
91551,1870,715900,5985084,528783,396367,568942,1686559,7565502,32199,2488970,1091358,436358,471,8,2271,30154,12007,12167,13534,23400,31664,3459,21597,14770,10376,CA,2022,22440,0.24510928335026377,7.819685202783148,3180651,5985084,0.5314296340702988,53.142963407029875,4048885,7565502,0.5351773087892912,53.517730878929115,0.005144673460694039,False,0.0042780748663101605,False,0.003172230758485822,False,CUUR0400SA0,345.294,0.1753,17.53,102.89936591969212,88971.39373186328,mean_of_sample,0.12102762354594751,73374.70841066765
79557,1499,400400,3569971,288826,205134,275611,993160,4204337,11964,1753551,625203,327564,722,11,3138,26256,11205,9641,10865,20569,23084,2073,18108,11398,8484,NY,2022,17988,0.22610204004675893,5.032869514938975,1762731,3569971,0.4937661958598543,49.37661958598543,2718282,4204337,0.6465423680356737,64.65423680356737,0.009075254220244605,False,0.00733822548365577,False,0.007837162837162837,False,CUUR0100SA0,337.321,0.1954,19.54,100.52337142086589,79142.7892593405,mean_of_sample,-0.7414752695963452,63678.28823806536
93421,1551,517700,349558,31842,21278,30549,73193,818033,1636,260943,153584,41487,1383,25,5786,7858,3516,2703,3164,5051,8264,738,6656,5591,3172,UT,2023,18612,0.19922715449417155,5.541580586805964,156862,349558,0.4487438422236081,44.87438422236081,457650,818033,0.5594517580586602,55.94517580586602,0.01480395200222648,False,0.016118633139909737,False,0.01117635696349237,False,CUUR0400SA0,345.294,0.1157,11.57,102.89936591969212,90788.70327822087,mean_of_sample,0.9163961844314629,80284.45030893071
75780,1413,296900,4212276,380049,289362,399815,1028215,7048369,19605,3114370,1261881,620092,472,7,1483,32908,13465,13766,15050,23118,34585,2646,28550,20399,12744,TX,2023,16956,0.22375296912114015,3.9179202955925048,2097441,4212276,0.49793532047757555,49.79353204775755,5015948,7048369,0.7116466234954498,71.16466234954498,0.006228556347321193,False,0.004953998584571833,False,0.00499494779386999,False,CUUR0300SA0,314.35,0.0966,9.66,93.67789673974995,80894.2158581199,mean_of_sample,-0.8541857493853177,73079.83460622552
95521,1992,725800,6041358,548408,419166,572811,1677588,7658458,30002,2519333,1084999,436772,611,8,2850,33816,13097,12854,15286,26218,33301,2901,22047,14962,11086,CA,2023,23904,0.25024863642549805,7.598329163220653,3217973,6041358,0.5326572270671595,53.26572270671595,4071106,7658458,0.5315829896827795,53.15829896827795,0.0063964991991289875,False,0.004016064257028112,False,0.003926701570680628,False,CUUR0400SA0,345.294,0.1436,14.36,102.89936591969212,92829.53218054758,mean_of_sample,0.44243662149411295,79499.21135942095
82095,1561,420200,3587598,301250,199756,278852,960230,4221669,11923,1798047,642991,333471,500,12,4220,29913,12807,10476,12020,21919,27179,2067,20604,13449,9114,NY,2023,18732,0.22817467568061392,5.118460320360558,1740088,3587598,0.4850287016549792,48.50287016549792,2786432,4221669,0.6600309024700894,66.00309024700894,0.006090504902856447,False,0.007687379884689302,False,0.010042836744407426,False,CUUR0100SA0,337.321,0.1595,15.95,100.52337142086589,81667.575251022,mean_of_sample,-0.5010855863056556,68641.59699848399
96658,1593,545200,360409,36649,24720,30486,72721,824019,1887,263290,149935,43351,1179,27,6188,7772,3809,3046,3761,4574,7708,763,5853,5633,2757,UT,2024,19116,0.1977694551925345,5.64050570051108,164576,360409,0.456636765452583,45.663676545258305,458463,824019,0.5563743069031175,55.63743069031175,0.012197645306130895,False,0.01694915254237288,False,0.011349963316214233,False,CUUR0400SA0,345.294,0.1139,11.39,102.89936591969212,93934.49525766447,mean_of_sample,1.1183509653674046,83235.35624781648
79721,1475,313200,4314892,385239,306862,404798,1028419,7134877,21357,3175928,1322209,632391,564,8,1780,32175,12639,13847,15603,21614,33201,3275,27479,20701,15548,TX,2024,17700,0.222024309780359,3.9287013459439795,2125318,4314892,0.49255415894534554,49.25541589453456,5151885,7134877,0.7220706117288357,72.20706117288357,0.007074672921814829,False,0.005423728813559322,False,0.005683269476372925,False,CUUR0300SA0,314.35,0.0967,9.67,93.67789673974995,85101.18477731825,mean_of_sample,-0.4933782234017915,76871.90020935157
100149,2104,759500,6095762,539010,418453,593892,1678750,7701876,29758,2608492,1098870,455064,381,9,3644,32082,15300,12901,13726,30077,35244,3191,27097,17572,12895,CA,2024,25248,0.2521043644968996,7.5837002865730065,3230105,6095762,0.5298935555554827,52.989355555548265,4192184,7701876,0.5443068675735626,54.43068675735626,0.0038043315459964653,False,0.0042775665399239545,False,0.004797893350888743,False,CUUR0400SA0,345.294,0.14550000000000002,14.55,102.89936591969212,97327.13035196094,mean_of_sample,0.7965116119126154,83166.03288575062
85820,1634,449800,3575503,293743,198815,279389,963187,4252571,11837,1836251,655049,354231,653,11,3718,21863,12811,9898,11464,17784,24341,2047,21817,13308,8601,NY,2024,19608,0.22847821020741085,5.241202516895829,1735134,3575503,0.48528388872838313,48.52838887283831,2857368,4252571,0.6719154130524805,67.19154130524805,0.0076089489629457005,False,0.006731946144430845,False,0.008265895953757225,False,CUUR0100SA0,337.321,0.15810000000000002,15.81,100.52337142086589,85373.18116867908,mean_of_sample,-0.23639231014076306,71875.68122591091
